Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelDMP_01.730	.	1	687	4.011645	1076.811401	562.942078
MSTRG.9	-	SmelDMP_02_SMEL4.1_02g015810.1.01	.	1	630	4.739683	1272.232544	665.105469
MSTRG.8	-	SmelDMP_01.990	.	1	537	3.824954	1026.699585	536.744324
MSTRG.2	-	Smel18s_06.900	.	1	966	39.103519	10496.222656	5487.279297
MSTRG.3	-	SmelCyclo_01	.	1	516	7074.532715	1898956.125000	992747.937500
MSTRG.1	.	SmelDMP10.200_Exon2	.	1	363	0.0	0.0	0.0
MSTRG.4	.	SmelDMP_10.200	.	2	666	0.0	0.0	0.0
MSTRG.5	.	SmelDMP_10.200_CDS1_Exon1	.	2	443	0.0	0.0	0.0
MSTRG.6	.	SmelDMP_04	.	109	384	0.0	0.0	0.0
MSTRG.7	.	SmelDMP_12	.	1	636	0.0	0.0	0.0
