Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_10.710	.	1	1023	6.665689	1313.435181	763.493286
STRG.2	-	SmelGRF_03	.	13	1437	9.543859	1880.561646	1093.161133
STRG.3	-	SmelGRF_03	+	13	1437	10.025600	1975.485962	1148.340088
STRG.4	-	SmelGRF_04	.	1	1797	129.192551	25456.640625	14797.817383
STRG.5	-	SmelGRF_05	.	3	1783	9.069708	1809.481812	1051.842651
STRG.6	-	SmelGRF_08.140	+	58	1537	19.222666	3787.714355	2201.779297
STRG.7	-	SmelGRF_08.890	.	1	924	29.604979	5833.488770	3390.977539
STRG.8	-	SmelGIF_11.070	.	1	630	180.276184	35522.375000	20648.978516
STRG.9	-	SmelGIF_03	.	1	609	272.717560	53737.410156	31237.287109
STRG.10	-	SmelGIF_04	.	1	600	92.461670	18219.033203	10590.632812
STRG.11	-	SmelCyclo01	.	1	516	7971.620117	1570761.375000	913075.687500
