Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.6	-	SmelGRF_01.230	.	1	1260	3.523016	694.480835	403.431641
MSTRG.18	-	SmelGRF_10.940	.	1	840	0.358333	70.637032	41.033836
MSTRG.17	-	SmelGRF_10.710	.	1	1032	6.607558	1302.526611	756.652222
MSTRG.7	-	SmelGRF_02	.	1	1713	0.968476	190.912567	110.903229
MSTRG.10	-	SmelGRF_03	+	1	1437	9.883090	1992.888672	1157.691162
MSTRG.9	-	SmelGRF_04	.	1	1797	129.192551	25467.312500	14794.245117
MSTRG.12	-	SmelGRF_07	.	1	996	3.279116	646.401611	375.501892
MSTRG.13	-	SmelGRF_08.800	.	1	1128	1.638298	322.952423	187.606659
MSTRG.11	-	SmelGRF_05	-	1	1841	8.883840	1805.418701	1048.787842
MSTRG.14	-	SmelGRF_08.140	+	51	1548	18.887701	3723.271729	2162.890137
MSTRG.15	-	SmelGRF_08.890	.	1	924	29.604979	5835.934570	3390.159180
MSTRG.16	-	SmelGRF_09.160	.	27	1095	1.926099	379.685699	220.563644
MSTRG.5	-	SmelGIF_11.650	.	1	687	0.292576	57.674568	33.503796
MSTRG.4	-	SmelGIF_11.070	.	1	630	180.276184	35537.265625	20643.994141
MSTRG.3	-	SmelGIF_03	.	1	609	272.717560	53759.937500	31229.746094
MSTRG.2	-	SmelGIF_04	.	1	600	92.461670	18226.671875	10588.076172
MSTRG.1	-	SmelCyclo01	.	1	516	7971.619629	1571419.875000	912855.250000
MSTRG.8	.	SmelGRF_01.300	+	1	891	0.0	0.0	0.0
