Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.8	-	SmelGRF_01.300	+	1	891	103.762733	32870.453125	18917.580078
MSTRG.6	-	SmelGRF_01.230	.	1	1260	13.543651	4290.422363	2469.220947
MSTRG.17	-	SmelGRF_10.710	.	1	1032	5.744186	1819.670654	1047.255615
MSTRG.18	-	SmelGRF_10.940	.	1	840	185.021423	58611.968750	33732.320312
MSTRG.7	-	SmelGRF_02	.	1	1713	12.692936	4020.928711	2314.122070
MSTRG.10	-	SmelGRF_03	+	1	1437	5.069590	1697.448486	976.914307
MSTRG.9	-	SmelGRF_04	.	1	1797	7.594881	2405.942627	1384.666382
MSTRG.11	-	SmelGRF_05	-	1	1841	6.187206	1960.012573	1128.025146
MSTRG.12	-	SmelGRF_07	.	1	996	21.197792	6715.137695	3864.691406
MSTRG.13	-	SmelGRF_08.800	.	1	1128	14.721631	4663.588867	2683.985107
MSTRG.14	-	SmelGRF_08.140	+	51	1548	8.685702	2751.498291	1583.540283
MSTRG.15	-	SmelGRF_08.890	.	1	924	12.005411	3803.131348	2188.775391
MSTRG.16	-	SmelGRF_09.160	.	27	1095	4.739944	1501.542114	864.166443
MSTRG.4	-	SmelGIF_11.070	.	1	630	145.023804	45941.335938	26440.125000
MSTRG.5	-	SmelGIF_11.650	.	1	687	12.609899	3994.623779	2298.983154
MSTRG.3	-	SmelGIF_03	.	1	609	73.418716	23257.933594	13385.388672
MSTRG.2	-	SmelGIF_04	.	1	600	58.336666	18480.167969	10635.693359
MSTRG.1	-	SmelCyclo01	.	1	516	4794.344727	1518775.500000	874084.562500
