Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.8	-	SmelDMP_01.990	.	1	537	1.664804	171.244431	90.374580
MSTRG.9	-	SmelDMP_02_SMEL4.1_02g015810.1.01	.	1	630	6.039682	621.251465	327.866638
MSTRG.10	-	SmelDMP_01.730	.	1	687	43.275108	4451.347656	2349.207275
MSTRG.4	-	SmelDMP_10.200	.	2	666	6.148121	632.405701	333.753296
MSTRG.7	-	SmelDMP_12	.	1	636	0.946541	97.362740	51.383373
MSTRG.5	-	SmelDMP_10.200_CDS1_Exon1	.	2	443	2.053167	211.192093	111.457031
MSTRG.1	-	SmelDMP10.200_Exon2	.	1	363	1.939394	199.489212	105.280807
MSTRG.2	-	Smel18s_06.900	.	1	966	85.776398	8823.099609	4656.407715
MSTRG.3	-	SmelCyclo_01	.	1	516	18273.310547	1879622.250000	991974.250000
MSTRG.6	.	SmelDMP_04	.	109	384	0.0	0.0	0.0
