Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.8	-	SmelGRF_01.300	+	1	891	26.407408	2577.254883	1411.124390
MSTRG.10	-	SmelGRF_01.230	.	1	1260	23.521429	2295.595215	1256.907349
MSTRG.6	-	SmelGRF_10.710	.	1	1032	23.597870	2303.055420	1260.991943
MSTRG.5	-	SmelGRF_10.940	.	1	840	44.732143	4365.673828	2390.337646
MSTRG.11	-	SmelGRF_02	.	1	1713	3.891418	379.786469	207.944489
MSTRG.7	-	SmelGRF_03	+	1	1437	6.985386	712.405701	390.063507
MSTRG.2	-	SmelGRF_04	.	1	1797	235.589310	22992.552734	12589.112305
MSTRG.13	-	SmelGRF_05	-	1	1841	10.714636	1063.870483	582.500916
MSTRG.14	-	SmelGRF_07	.	1	996	6.552209	639.468811	350.128357
MSTRG.12	-	SmelGRF_08.800	.	1	1128	5.536347	540.324829	295.844055
MSTRG.9	-	SmelGRF_08.140	+	51	1548	15.316878	1494.864624	818.483215
MSTRG.3	-	SmelGRF_08.890	.	1	924	19.068182	1860.976685	1018.940491
MSTRG.4	-	SmelGRF_09.160	.	27	1095	15.419084	1504.839478	823.944763
MSTRG.1	-	SmelCyclo01	.	1	516	18275.902344	1783653.250000	976603.625000
