Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_01.300	+	4	891	26.499420	2585.795410	1415.456665
STRG.2	-	SmelGRF_01.230	.	51	1260	24.440496	2384.886963	1305.479980
STRG.3	-	SmelGRF_10.710	.	1	1032	23.597868	2302.663818	1260.471313
STRG.4	-	SmelGRF_10.940	.	1	840	44.732143	4364.932129	2389.350830
STRG.5	-	SmelGRF_02	.	1009	1713	8.601418	839.320496	459.441528
STRG.6	-	SmelGRF_03	+	332	1437	9.631579	939.842957	514.467224
STRG.7	-	SmelGRF_04	.	1	1797	235.589310	22988.644531	12583.915039
STRG.8	-	SmelGRF_05	.	238	1827	12.282794	1210.575439	662.665344
STRG.9	-	SmelGRF_07	.	30	976	6.891235	672.442017	368.092743
STRG.10	-	SmelGRF_08.800	.	8	1128	5.570919	543.606506	297.568573
STRG.11	-	SmelGRF_08.140	.	203	1548	13.055722	1273.968506	697.366516
STRG.12	-	SmelGRF_08.890	.	1	924	19.068182	1860.660278	1018.519836
STRG.13	-	SmelGRF_09.160	.	27	1091	15.476995	1510.234619	826.697937
STRG.14	-	SmelCyclo01	.	1	516	18275.902344	1783350.125000	976200.437500
