Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_01.230	.	850	1221	17.647850	5041.289062	2660.137451
STRG.2	-	SmelGRF_10.710	.	637	1032	32.628788	9320.748047	4918.279297
STRG.3	-	SmelGRF_02	.	963	1713	38.667110	11045.657227	5828.462891
STRG.4	-	SmelGRF_04	.	37	1797	25.037479	7152.212891	3774.008545
STRG.5	-	SmelGRF_05	.	169	1841	5.365606	1532.740356	808.781189
STRG.6	-	SmelGRF_08.800	.	771	1112	9.801169	2799.804443	1477.372925
STRG.7	-	SmelGRF_08.140	.	1105	1548	5.972973	1706.240967	900.332275
STRG.8	-	SmelGRF_08.890	.	228	924	15.916786	4546.793457	2399.206543
STRG.9	-	SmelGRF_09.160	.	463	1095	6.579779	1879.581421	991.798767
STRG.10	-	SmelCyclo01	.	1	516	6476.569824	1850098.625000	976241.562500
