Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_10.710	.	1	1032	17.944767	2680.558594	1461.779297
STRG.2	-	SmelGRF_02	.	1	1713	17.711617	2645.730957	1442.786987
STRG.3	-	SmelGRF_04	.	1	1797	59.583752	8917.310547	4862.844727
STRG.4	-	SmelGRF_07	.	28	983	6.049163	903.613647	492.764374
STRG.5	-	SmelGRF_08.800	.	324	1128	9.489441	1417.516479	773.009155
STRG.6	-	SmelGRF_08.140	.	634	1537	8.556415	1296.649658	707.097290
STRG.7	-	SmelGRF_09.160	.	488	1021	5.891386	880.045166	479.911865
STRG.8	-	SmelGRF_08.890	.	24	924	25.970034	3879.359131	2115.517090
STRG.9	-	SmelGIF_11.650	.	10	687	5.025074	750.637024	409.342163
STRG.10	-	SmelGIF_11.070	.	51	630	39.951725	5967.920410	3254.464600
STRG.11	-	SmelGIF_03	.	1	609	153.745483	22966.238281	12524.096680
STRG.12	-	SmelGIF_04	.	1	600	114.625000	17122.488281	9337.344727
STRG.13	-	SmelCyclo01	.	1	516	11811.193359	1764336.125000	962139.000000
