Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.6	-	SmelGRF_01.230	.	1	1260	1.253968	293.814789	161.311279
MSTRG.17	-	SmelGRF_10.710	.	1	1032	2.468992	578.504700	317.612793
MSTRG.18	-	SmelGRF_10.940	.	1	840	3.613095	846.577271	464.790955
MSTRG.7	-	SmelGRF_02	.	1	1713	0.295972	69.348618	38.074036
MSTRG.10	-	SmelGRF_03	+	1	1437	0.232429	54.459980	29.899822
MSTRG.9	-	SmelGRF_04	.	1	1797	3.591542	841.527161	462.018372
MSTRG.12	-	SmelGRF_07	.	1	996	0.596386	139.738037	76.719498
MSTRG.13	-	SmelGRF_08.800	.	1	1128	1.352837	316.980591	174.029861
MSTRG.11	-	SmelGRF_05	-	1	1841	4.170202	977.111816	536.457581
MSTRG.14	-	SmelGRF_08.140	+	51	1548	6.085996	1425.997803	782.906616
MSTRG.15	-	SmelGRF_08.890	.	1	924	11.825758	2770.870117	1521.273438
MSTRG.16	-	SmelGRF_09.160	.	27	1095	0.419083	98.194519	53.911118
MSTRG.4	-	SmelGIF_11.070	.	1	630	4.396825	1030.211426	565.610535
MSTRG.3	-	SmelGIF_03	.	1	609	85.149422	19951.195312	10953.678711
MSTRG.2	-	SmelGIF_04	.	1	600	50.255001	11775.150391	6464.836914
MSTRG.1	-	SmelCyclo01	.	1	516	7597.883789	1780245.250000	977396.875000
MSTRG.5	.	SmelGIF_11.650	.	1	687	0.0	0.0	0.0
MSTRG.8	.	SmelGRF_01.300	+	1	891	0.0	0.0	0.0
