Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelGRF_01.230	.	1	1260	2.644444	406.979279	220.852066
MSTRG.5	-	SmelGRF_10.940	.	1	840	1.077381	165.808670	89.978012
MSTRG.6	-	SmelGRF_10.710	.	1	1032	17.944767	2761.695312	1498.666138
MSTRG.11	-	SmelGRF_02	.	1	1713	17.711617	2725.813477	1479.194458
MSTRG.7	-	SmelGRF_03	+	1	1437	1.375783	211.732651	114.899200
MSTRG.2	-	SmelGRF_04	.	1	1797	59.639954	9178.575195	4980.860352
MSTRG.14	-	SmelGRF_07	.	1	996	5.806224	893.576477	484.909698
MSTRG.13	-	SmelGRF_05	-	1	1841	13.246236	2038.592407	1106.265991
MSTRG.12	-	SmelGRF_08.800	.	1	1128	6.949468	1069.521484	580.388306
MSTRG.9	-	SmelGRF_08.140	+	51	1548	7.876089	1212.128296	657.775513
MSTRG.3	-	SmelGRF_08.890	.	1	924	25.323593	3897.294922	2114.912598
MSTRG.4	-	SmelGRF_09.160	.	27	1095	3.036483	467.314026	253.593399
MSTRG.1	-	SmelCyclo01	.	1	516	11811.193359	1817739.875000	986417.750000
MSTRG.8	.	SmelGRF_01.300	+	1	891	0.0	0.0	0.0
