Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.8	-	SmelGRF_01.300	+	1	891	26.407408	2487.174805	1368.299805
MSTRG.6	-	SmelGRF_01.230	.	1	1260	23.521429	2215.359863	1218.762817
MSTRG.17	-	SmelGRF_10.710	.	1	1032	23.597870	2222.559326	1222.723511
MSTRG.18	-	SmelGRF_10.940	.	1	840	44.732143	4213.085449	2317.795898
MSTRG.7	-	SmelGRF_02	.	1	1713	3.891418	366.512177	201.633820
MSTRG.10	-	SmelGRF_03	+	1	1437	6.985386	687.505737	378.225891
MSTRG.9	-	SmelGRF_04	.	1	1797	235.589310	22188.917969	12207.059570
MSTRG.11	-	SmelGRF_05	-	1	1841	10.714636	1026.686035	564.823242
MSTRG.12	-	SmelGRF_07	.	1	996	6.552209	617.118103	339.502686
MSTRG.13	-	SmelGRF_08.800	.	1	1128	5.536347	521.439453	286.865814
MSTRG.14	-	SmelGRF_08.140	+	51	1548	15.316878	1442.616211	793.643982
MSTRG.15	-	SmelGRF_08.890	.	1	924	19.068182	1795.931885	988.017822
MSTRG.16	-	SmelGRF_09.160	.	27	1095	15.419084	1452.242432	798.939819
MSTRG.5	-	SmelGIF_11.650	.	1	687	7.452693	701.929993	386.161255
MSTRG.4	-	SmelGIF_11.070	.	1	630	277.834930	26167.810547	14396.016602
MSTRG.3	-	SmelGIF_03	.	1	609	197.614120	18612.236328	10239.375977
MSTRG.2	-	SmelGIF_04	.	1	600	102.794998	9681.720703	5326.322754
MSTRG.1	-	SmelCyclo01	.	1	516	18275.902344	1721311.125000	946965.812500
