Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.8	-	SmelDMP_01.990	.	1	537	2.188082	340.786743	182.221283
MSTRG.9	-	SmelDMP_02_SMEL4.1_02g015810.1.01	.	1	630	8.385715	1306.048218	698.353943
MSTRG.6	-	SmelDMP_04	.	109	384	2.260870	352.123230	188.283005
MSTRG.7	-	SmelDMP_12	.	1	636	6.083333	947.459595	506.613922
MSTRG.10	-	SmelDMP_01.730	.	1	687	100.404655	15637.703125	8361.599609
MSTRG.2	-	Smel18s_06.900	.	1	966	89.068321	13872.105469	7417.520996
MSTRG.3	-	SmelCyclo_01	.	1	516	11799.437500	1837724.500000	982645.375000
MSTRG.1	.	SmelDMP10.200_Exon2	.	1	363	0.0	0.0	0.0
MSTRG.4	.	SmelDMP_10.200	.	2	666	0.0	0.0	0.0
MSTRG.5	.	SmelDMP_10.200_CDS1_Exon1	.	2	443	0.0	0.0	0.0
