Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelDMP_01.730	.	1	687	2.809316	632.175781	348.561371
MSTRG.8	-	SmelDMP_01.990	.	1	537	7.521415	1692.531860	933.207520
MSTRG.9	-	SmelDMP_02_SMEL4.1_02g015810.1.01	.	1	630	5.258730	1183.363525	652.468506
MSTRG.7	-	SmelDMP_12	.	1	636	2.904088	653.502197	360.320068
MSTRG.2	-	Smel18s_06.900	.	1	966	73.093170	16448.037109	9068.917969
MSTRG.3	-	SmelCyclo_01	.	1	516	7968.158691	1793061.875000	988636.500000
MSTRG.1	.	SmelDMP10.200_Exon2	.	1	363	0.0	0.0	0.0
MSTRG.4	.	SmelDMP_10.200	.	2	666	0.0	0.0	0.0
MSTRG.5	.	SmelDMP_10.200_CDS1_Exon1	.	2	443	0.0	0.0	0.0
MSTRG.6	.	SmelDMP_04	.	109	384	0.0	0.0	0.0
