Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelDMP_01.730	.	1	687	3.066958	451.958038	242.386307
MSTRG.8	-	SmelDMP_01.990	.	1	537	0.748603	110.316856	59.163223
MSTRG.7	-	SmelDMP_12	.	1	636	0.232704	34.292107	18.390947
MSTRG.9	-	SmelDMP_02_SMEL4.1_02g015810.1.01	.	1	630	14.284127	2104.960693	1128.895996
MSTRG.2	-	Smel18s_06.900	.	1	966	64.495857	9504.343750	5097.204590
MSTRG.3	-	SmelCyclo_01	.	1	516	12570.353516	1852412.875000	993454.000000
MSTRG.1	.	SmelDMP10.200_Exon2	.	1	363	0.0	0.0	0.0
MSTRG.4	.	SmelDMP_10.200	.	2	666	0.0	0.0	0.0
MSTRG.5	.	SmelDMP_10.200_CDS1_Exon1	.	2	443	0.0	0.0	0.0
MSTRG.6	.	SmelDMP_04	.	109	384	0.0	0.0	0.0
