Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelDMP_01.730	.	1	687	8.542940	2025.102661	1109.610107
MSTRG.8	-	SmelDMP_01.990	.	1	537	15.268156	3619.314209	1983.122925
MSTRG.6	-	SmelDMP_04	.	109	384	5.786232	1371.625366	751.551758
MSTRG.9	-	SmelDMP_02_SMEL4.1_02g015810.1.01	.	1	630	13.766666	3263.386230	1788.100098
MSTRG.7	-	SmelDMP_12	.	1	636	4.693396	1112.568848	609.607422
MSTRG.2	-	Smel18s_06.900	.	1	966	52.998966	12563.397461	6883.835449
MSTRG.3	-	SmelCyclo_01	.	1	516	7597.990234	1801102.375000	986874.187500
MSTRG.1	.	SmelDMP10.200_Exon2	.	1	363	0.0	0.0	0.0
MSTRG.4	.	SmelDMP_10.200	.	2	666	0.0	0.0	0.0
MSTRG.5	.	SmelDMP_10.200_CDS1_Exon1	.	2	443	0.0	0.0	0.0
