Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_01.230	.	51	1260	14.054545	4759.453125	2718.808594
STRG.2	-	SmelGRF_10.710	.	84	1028	6.273016	2111.885498	1206.401733
STRG.3	-	SmelGRF_01.300	+	1	891	103.762733	34932.960938	19955.240234
STRG.4	-	SmelGRF_10.940	.	1	840	185.021423	62289.664062	35582.589844
STRG.5	-	SmelGRF_02	.	1	1713	12.692936	4273.228027	2441.055420
STRG.6	-	SmelGRF_03	+	129	1437	5.497355	1850.750000	1057.229614
STRG.7	-	SmelGRF_04	.	244	1797	8.653796	2913.404053	1664.264038
STRG.8	-	SmelGRF_05	.	26	1783	6.479321	2181.340576	1246.077393
STRG.9	-	SmelGRF_07	.	1	996	21.197792	7136.488770	4076.675781
STRG.10	-	SmelGRF_08.800	.	1	1128	14.721631	4956.212402	2831.206055
STRG.11	-	SmelGRF_08.140	.	701	1548	10.082953	3394.546387	1939.113770
STRG.12	-	SmelGRF_08.890	.	8	924	12.097055	4072.617920	2326.458008
STRG.13	-	SmelGRF_09.160	.	43	1095	4.811966	1620.005615	925.418335
STRG.14	-	SmelCyclo01	.	1	516	4794.344727	1614073.250000	922029.500000
