Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_01.230	.	1	1260	19.626190	2680.088867	1472.134155
STRG.2	-	SmelGRF_10.710	.	1	1032	20.692829	2825.745361	1552.141357
STRG.3	-	SmelGRF_02	.	1	1713	12.607122	1721.587646	945.643250
STRG.4	-	SmelGRF_03	+	33	1425	3.669130	501.044464	275.216522
STRG.5	-	SmelGRF_04	.	4	1797	24.523411	3348.837158	1839.468018
STRG.6	-	SmelGRF_05	.	1	1783	17.450201	2382.942627	1308.916138
STRG.7	-	SmelGRF_07	.	51	976	12.990281	1773.910645	974.383606
STRG.8	-	SmelGRF_08.800	.	1	1128	9.464539	1292.446533	709.922363
STRG.9	-	SmelGRF_08.140	.	51	1537	14.309690	1954.084717	1073.350586
STRG.10	-	SmelGRF_08.890	.	1	924	33.689392	4600.514160	2526.996338
STRG.11	-	SmelGIF_11.070	.	1	630	334.000000	45609.953125	25052.890625
STRG.12	-	SmelGIF_03	.	1	609	126.753693	17309.072266	9507.624023
STRG.13	-	SmelGIF_04	.	1	600	111.489998	15224.711914	8362.714844
STRG.14	-	SmelCyclo01	.	1	516	12590.527344	1719321.500000	944398.625000
