Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.8	-	SmelGRF_01.300	+	1	891	0.000000	0.000000	0.000000
MSTRG.6	-	SmelGRF_01.230	.	1	1260	19.626190	2681.021729	1471.476440
MSTRG.17	-	SmelGRF_10.710	.	1	1032	20.692829	2826.729004	1551.447998
MSTRG.18	-	SmelGRF_10.940	.	1	840	1.858333	253.856247	139.328781
MSTRG.7	-	SmelGRF_02	.	1	1713	12.607122	1722.187012	945.220825
MSTRG.10	-	SmelGRF_03	+	1	1437	3.448852	480.149445	263.529602
MSTRG.9	-	SmelGRF_04	.	1	1797	24.482471	3344.410645	1835.576904
MSTRG.11	-	SmelGRF_05	-	1	1841	16.900438	2308.672363	1267.112793
MSTRG.12	-	SmelGRF_07	.	1	996	12.136547	1657.904419	909.939392
MSTRG.13	-	SmelGRF_08.800	.	1	1128	9.464539	1292.896484	709.605164
MSTRG.14	-	SmelGRF_08.140	+	51	1548	18.103901	2473.070312	1357.342529
MSTRG.16	-	SmelGRF_09.160	.	27	1095	1.318990	180.179688	98.891464
MSTRG.15	-	SmelGRF_08.890	.	1	924	33.689392	4602.115234	2525.867188
MSTRG.5	-	SmelGIF_11.650	.	1	687	0.586608	80.133171	43.981022
MSTRG.4	-	SmelGIF_11.070	.	1	630	334.000000	45625.832031	25041.699219
MSTRG.3	-	SmelGIF_03	.	1	609	126.753693	17315.097656	9503.376953
MSTRG.2	-	SmelGIF_04	.	1	600	111.489998	15230.011719	8358.979492
MSTRG.1	-	SmelCyclo01	.	1	516	12590.527344	1719920.125000	943976.625000
