Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_01.230	.	51	1260	50.240498	9832.424805	5655.411621
STRG.2	-	SmelGRF_10.710	.	1	1031	34.392822	6730.921387	3871.489990
STRG.3	-	SmelGRF_10.940	.	1	840	7.354762	1439.379639	827.902039
STRG.4	-	SmelGRF_02	.	3	1713	51.252483	10030.477539	5769.328125
STRG.5	-	SmelGRF_03	.	1	1437	15.187891	2972.379150	1709.652222
STRG.6	-	SmelGRF_03	+	1	1437	15.779715	3088.203369	1776.271973
STRG.7	-	SmelGRF_04	.	1	1797	79.953812	15647.534180	9000.144531
STRG.8	-	SmelGRF_05	.	1	1783	20.475672	4007.235352	2304.880615
STRG.9	-	SmelGRF_05	-	1	1783	21.692669	4245.410645	2441.874268
STRG.10	-	SmelGRF_07	.	1	987	105.859169	20717.398438	11916.227539
STRG.11	-	SmelGRF_08.800	.	1	1128	40.742020	7973.504883	4586.198730
STRG.12	-	SmelGRF_08.140	+	86	1548	26.620573	5209.836914	2996.592773
STRG.13	-	SmelGRF_08.890	.	1	924	40.186146	7864.716797	4523.625488
STRG.14	-	SmelGRF_09.160	.	37	1095	20.308783	3974.574219	2286.094482
STRG.15	-	SmelGIF_11.070	.	1	630	413.850800	80993.562500	46585.859375
STRG.16	-	SmelGIF_11.650	.	1	687	97.720528	19124.607422	11000.086914
STRG.17	-	SmelGIF_03	.	1	609	166.300491	32546.199219	18719.916016
STRG.18	-	SmelGIF_04	.	1	600	106.144997	20773.337891	11948.403320
STRG.19	-	SmelCyclo01	.	1	516	7569.550293	1481415.125000	852080.062500
