Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.6	-	SmelGRF_01.230	.	1	1260	48.446033	9488.439453	5478.170410
MSTRG.17	-	SmelGRF_10.710	.	1	1032	34.359497	6729.508301	3885.295898
MSTRG.18	-	SmelGRF_10.940	.	1	840	7.354763	1440.473389	831.660339
MSTRG.7	-	SmelGRF_02	.	1	1713	51.192646	10026.378906	5788.751465
MSTRG.10	-	SmelGRF_03	+	1	1437	15.746695	3139.205322	1812.427002
MSTRG.9	-	SmelGRF_04	.	1	1797	79.953812	15659.421875	9041.000000
MSTRG.11	-	SmelGRF_05	-	1	1841	20.142378	4084.940918	2358.449219
MSTRG.12	-	SmelGRF_07	.	1	996	104.902611	20545.789062	11862.155273
MSTRG.13	-	SmelGRF_08.800	.	1	1128	40.742023	7979.563477	4607.018066
MSTRG.14	-	SmelGRF_08.140	+	51	1548	25.761211	5045.483887	2913.020996
MSTRG.15	-	SmelGRF_08.890	.	1	924	40.186146	7870.691895	4544.160156
MSTRG.16	-	SmelGRF_09.160	.	27	1095	20.118803	3940.385010	2274.989990
MSTRG.4	-	SmelGIF_11.070	.	1	630	413.850800	81055.101562	46797.332031
MSTRG.5	-	SmelGIF_11.650	.	1	687	97.720528	19139.136719	11050.021484
MSTRG.3	-	SmelGIF_03	.	1	609	166.300491	32570.921875	18804.892578
MSTRG.2	-	SmelGIF_04	.	1	600	106.144997	20789.119141	12002.641602
MSTRG.1	-	SmelCyclo01	.	1	516	7569.550293	1482540.625000	855948.000000
MSTRG.8	.	SmelGRF_01.300	+	1	891	0.0	0.0	0.0
