Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelGRF_01.230	.	1	1260	48.446033	10522.157227	6011.082031
MSTRG.6	-	SmelGRF_10.710	.	1	1032	34.359497	7462.655273	4263.254395
MSTRG.5	-	SmelGRF_10.940	.	1	840	7.354763	1597.405884	912.563538
MSTRG.11	-	SmelGRF_02	.	1	1713	51.192646	11118.704102	6351.876465
MSTRG.7	-	SmelGRF_03	+	1	1437	15.746695	3481.206299	1988.738403
MSTRG.2	-	SmelGRF_04	.	1	1797	79.953812	17365.439453	9920.500977
MSTRG.13	-	SmelGRF_05	-	1	1841	20.142378	4529.975098	2587.877197
MSTRG.14	-	SmelGRF_07	.	1	996	104.902611	22784.150391	13016.095703
MSTRG.12	-	SmelGRF_08.800	.	1	1128	40.742023	8848.897461	5055.185059
MSTRG.9	-	SmelGRF_08.140	+	51	1548	25.761211	5595.164551	3196.397217
MSTRG.3	-	SmelGRF_08.890	.	1	924	40.186146	8728.165039	4986.212402
MSTRG.4	-	SmelGRF_09.160	.	27	1095	20.118803	4369.670410	2496.299072
MSTRG.1	-	SmelCyclo01	.	1	516	7569.550293	1644056.125000	939213.937500
MSTRG.8	.	SmelGRF_01.300	+	1	891	0.0	0.0	0.0
