Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_01.230	.	51	1260	50.240498	10902.717773	6202.838867
STRG.2	-	SmelGRF_10.710	.	1	1031	34.392822	7463.604980	4246.238770
STRG.3	-	SmelGRF_10.940	.	1	840	7.354762	1596.060913	908.040466
STRG.4	-	SmelGRF_02	.	3	1713	51.252483	11122.329102	6327.781738
STRG.5	-	SmelGRF_03	.	1	1437	15.187891	3295.932617	1875.141479
STRG.6	-	SmelGRF_03	+	1	1437	15.779715	3424.364502	1948.209839
STRG.7	-	SmelGRF_04	.	1	1797	79.953812	17350.820312	9871.331055
STRG.8	-	SmelGRF_05	.	1	1783	20.475672	4443.436523	2527.986084
STRG.9	-	SmelGRF_05	-	1	1783	21.692669	4707.537598	2678.240234
STRG.10	-	SmelGRF_07	.	1	987	105.859169	22972.556641	13069.682617
STRG.11	-	SmelGRF_08.800	.	1	1128	40.742020	8841.448242	5030.128906
STRG.12	-	SmelGRF_08.140	+	86	1548	26.620573	5776.945312	3286.654053
STRG.13	-	SmelGRF_08.890	.	1	924	40.186146	8720.817383	4961.499023
STRG.14	-	SmelGRF_09.160	.	37	1095	20.308783	4407.220215	2507.381592
STRG.15	-	SmelCyclo01	.	1	516	7569.550293	1642672.250000	934558.875000
