Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelGRF_01.230	.	1	1260	1.253968	300.164673	164.265457
MSTRG.6	-	SmelGRF_10.710	.	1	1032	2.468992	591.007263	323.429382
MSTRG.5	-	SmelGRF_10.940	.	1	840	3.613095	864.873413	473.302917
MSTRG.11	-	SmelGRF_02	.	1	1713	0.295972	70.847374	38.771305
MSTRG.7	-	SmelGRF_03	+	1	1437	0.232429	55.636967	30.447392
MSTRG.2	-	SmelGRF_04	.	1	1797	3.591542	859.714172	470.479523
MSTRG.14	-	SmelGRF_07	.	1	996	0.596386	142.758041	78.124496
MSTRG.12	-	SmelGRF_08.800	.	1	1128	1.352837	323.831146	177.216949
MSTRG.13	-	SmelGRF_05	-	1	1841	4.170202	998.229065	546.281982
MSTRG.9	-	SmelGRF_08.140	+	51	1548	6.085996	1456.816406	797.244324
MSTRG.3	-	SmelGRF_08.890	.	1	924	11.825758	2830.754150	1549.133301
MSTRG.4	-	SmelGRF_09.160	.	27	1095	0.419083	100.316689	54.898418
MSTRG.1	-	SmelCyclo01	.	1	516	7597.883789	1818719.750000	995296.437500
MSTRG.8	.	SmelGRF_01.300	+	1	891	0.0	0.0	0.0
