Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.10	-	SmelGRF_01.230	.	1	1260	3.523016	747.616211	430.324921
MSTRG.5	-	SmelGRF_10.940	.	1	840	0.358333	76.041542	43.769207
MSTRG.6	-	SmelGRF_10.710	.	1	1032	6.607558	1402.184204	807.091675
MSTRG.11	-	SmelGRF_02	.	1	1713	0.968476	205.519455	118.296188
MSTRG.7	-	SmelGRF_03	+	1	1437	9.883090	2145.366455	1234.864380
MSTRG.2	-	SmelGRF_04	.	1	1797	129.192551	27415.841797	15780.449219
MSTRG.14	-	SmelGRF_07	.	1	996	3.279116	695.858398	400.533325
MSTRG.12	-	SmelGRF_08.800	.	1	1128	1.638298	347.661835	200.112762
MSTRG.13	-	SmelGRF_05	-	1	1841	8.883840	1943.552979	1118.701416
MSTRG.9	-	SmelGRF_08.140	+	51	1548	18.887701	4008.142822	2307.071289
MSTRG.4	-	SmelGRF_09.160	.	27	1095	1.926099	408.735809	235.266724
MSTRG.3	-	SmelGRF_08.890	.	1	924	29.604979	6282.447266	3616.151611
MSTRG.1	-	SmelCyclo01	.	1	516	7971.619629	1691650.625000	973707.375000
MSTRG.8	.	SmelGRF_01.300	+	1	891	0.0	0.0	0.0
