Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.8	-	SmelDMP_01.990	.	1	537	2.592179	421.311646	218.913818
MSTRG.10	-	SmelDMP_01.730	.	1	687	12.918487	2099.665771	1090.987671
MSTRG.9	-	SmelDMP_02_SMEL4.1_02g015810.1.01	.	1	630	12.512698	2033.712036	1056.718140
MSTRG.7	-	SmelDMP_12	.	1	636	3.878931	630.449829	327.582153
MSTRG.2	-	Smel18s_06.900	.	1	966	55.105595	8956.414062	4653.758789
MSTRG.3	-	SmelCyclo_01	.	1	516	11754.085938	1910413.375000	992652.062500
MSTRG.1	.	SmelDMP10.200_Exon2	.	1	363	0.0	0.0	0.0
MSTRG.4	.	SmelDMP_10.200	.	2	666	0.0	0.0	0.0
MSTRG.5	.	SmelDMP_10.200_CDS1_Exon1	.	2	443	0.0	0.0	0.0
MSTRG.6	.	SmelDMP_04	.	109	384	0.0	0.0	0.0
