Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_01.230	.	1	1260	19.626190	2822.511230	1538.156738
STRG.2	-	SmelGRF_10.710	.	1	1032	20.692829	2975.908203	1621.752197
STRG.3	-	SmelGRF_02	.	1	1713	12.607122	1813.074463	988.053711
STRG.4	-	SmelGRF_03	+	33	1425	3.669130	527.670410	287.559479
STRG.5	-	SmelGRF_04	.	4	1797	24.523411	3526.797607	1921.964966
STRG.6	-	SmelGRF_05	.	1	1783	17.450201	2509.574463	1367.618774
STRG.7	-	SmelGRF_07	.	51	976	12.990281	1868.177856	1018.083008
STRG.8	-	SmelGRF_08.800	.	1	1128	9.464539	1361.128418	741.761108
STRG.9	-	SmelGRF_08.140	.	51	1537	14.309690	2057.926758	1121.488525
STRG.10	-	SmelGRF_08.890	.	1	924	33.689392	4844.989746	2640.327637
STRG.11	-	SmelCyclo01	.	1	516	12590.527344	1810687.875000	986753.250000
