Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SmelGRF_02	.	321	1713	12.620244	1997.805298	1046.743774
STRG.2	-	SmelGRF_04	.	50	1797	4.930778	780.550232	408.966858
STRG.3	-	SmelGRF_05	.	35	1783	10.194397	1613.789795	845.540100
STRG.4	-	SmelGRF_08.800	.	1	1128	15.100178	2390.382812	1252.433594
STRG.5	-	SmelGRF_08.140	.	79	1548	11.229252	1777.608887	931.372620
STRG.6	-	SmelGRF_08.890	.	1	924	16.622293	2631.336426	1378.680542
STRG.7	-	SmelGIF_11.070	.	1	630	16.288889	2578.557861	1351.027222
STRG.8	-	SmelGIF_03	.	1	609	43.105091	6823.606445	3575.207275
STRG.9	-	SmelGIF_04	.	1	600	162.375000	25704.230469	13467.650391
STRG.10	-	SmelCyclo01	.	1	516	11764.203125	1862292.625000	975742.437500
